0.00.318.843 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.424.319 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_K_M.gguf'
0.39.896.873 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.39.933.382 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.39.933.439 I srv  llama_server: model loaded
0.39.933.447 I srv  llama_server: listening on http://0.0.0.0:8091
0.40.019.200 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.39.176.652 I slot print_timing: id  1 | task 307 |        eval time =    3577.74 ms /    42 tokens (   85.18 ms per token,    11.74 tokens per second)
1.39.176.654 I slot print_timing: id  1 | task 307 |       total time =    4608.50 ms /    65 tokens
1.39.176.655 I slot print_timing: id  1 | task 307 |    graphs reused =        303
1.39.176.744 I slot      release: id  1 | task 307 | stop processing: n_tokens = 531, truncated = 0
1.39.216.774 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 177066400702
1.39.217.250 I slot launch_slot_: id  0 | task 351 | processing task, is_child = 0
1.43.418.230 I slot print_timing: id  0 | task 351 | prompt processing, n_tokens =    403, progress = 0.75, t =   3.15 s / 128.06 tokens per second
1.44.098.190 I slot print_timing: id  0 | task 351 | prompt processing, n_tokens =    504, progress = 0.94, t =   3.83 s / 131.70 tokens per second
1.46.082.593 I slot print_timing: id  0 | task 351 | prompt processing, n_tokens =    531, progress = 0.99, t =   5.81 s / 91.37 tokens per second
1.51.463.692 I slot print_timing: id  0 | task 351 | prompt eval time =    6618.27 ms /   535 tokens (   12.37 ms per token,    80.84 tokens per second)
1.51.463.699 I slot print_timing: id  0 | task 351 |        eval time =    4574.14 ms /    53 tokens (   86.30 ms per token,    11.59 tokens per second)
1.51.463.701 I slot print_timing: id  0 | task 351 |       total time =   11192.42 ms /   588 tokens
1.51.463.702 I slot print_timing: id  0 | task 351 |    graphs reused =        354
1.51.464.009 I slot      release: id  0 | task 351 | stop processing: n_tokens = 587, truncated = 0
1.51.505.570 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.960 (> 0.100 thold), f_keep = 0.864
1.51.506.036 I slot launch_slot_: id  0 | task 408 | processing task, is_child = 0
1.56.131.307 I slot print_timing: id  0 | task 408 | prompt eval time =    1047.67 ms /    24 tokens (   43.65 ms per token,    22.91 tokens per second)
1.56.131.315 I slot print_timing: id  0 | task 408 |        eval time =    3577.54 ms /    42 tokens (   85.18 ms per token,    11.74 tokens per second)
1.56.131.316 I slot print_timing: id  0 | task 408 |       total time =    4625.21 ms /    66 tokens
1.56.131.318 I slot print_timing: id  0 | task 408 |    graphs reused =        394
1.56.131.619 I slot      release: id  0 | task 408 | stop processing: n_tokens = 569, truncated = 0
1.56.176.335 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 177076721497
1.56.176.861 I slot launch_slot_: id  3 | task 452 | processing task, is_child = 0
2.00.704.120 I slot print_timing: id  3 | task 452 | prompt processing, n_tokens =    503, progress = 0.95, t =   3.80 s / 132.22 tokens per second
2.02.699.667 I slot print_timing: id  3 | task 452 | prompt processing, n_tokens =    523, progress = 0.99, t =   5.80 s / 90.17 tokens per second
2.06.208.326 I slot print_timing: id  3 | task 452 | prompt eval time =    6602.94 ms /   527 tokens (   12.53 ms per token,    79.81 tokens per second)
2.06.208.334 I slot print_timing: id  3 | task 452 |        eval time =    2705.62 ms /    32 tokens (   84.55 ms per token,    11.83 tokens per second)
2.06.208.336 I slot print_timing: id  3 | task 452 |       total time =    9308.56 ms /   559 tokens
2.06.208.337 I slot print_timing: id  3 | task 452 |    graphs reused =        424
2.06.208.488 I slot      release: id  3 | task 452 | stop processing: n_tokens = 558, truncated = 0
2.06.247.721 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.960 (> 0.100 thold), f_keep = 0.907
2.06.248.449 I slot launch_slot_: id  3 | task 488 | processing task, is_child = 0
2.10.925.001 I slot print_timing: id  3 | task 488 | prompt eval time =    1029.91 ms /    24 tokens (   42.91 ms per token,    23.30 tokens per second)
2.10.925.009 I slot print_timing: id  3 | task 488 |        eval time =    3646.58 ms /    42 tokens (   86.82 ms per token,    11.52 tokens per second)
2.10.925.011 I slot print_timing: id  3 | task 488 |       total time =    4676.49 ms /    66 tokens
2.10.925.012 I slot print_timing: id  3 | task 488 |    graphs reused =        464
2.10.925.125 I slot      release: id  3 | task 488 | stop processing: n_tokens = 568, truncated = 0
2.10.965.646 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 177087172910
2.10.966.363 I slot launch_slot_: id  2 | task 532 | processing task, is_child = 0
2.14.851.379 I slot print_timing: id  2 | task 532 | prompt processing, n_tokens =    440, progress = 0.77, t =   3.18 s / 138.57 tokens per second
2.15.577.755 I slot print_timing: id  2 | task 532 | prompt processing, n_tokens =    530, progress = 0.93, t =   3.90 s / 135.84 tokens per second
2.17.599.746 I slot print_timing: id  2 | task 532 | prompt processing, n_tokens =    568, progress = 0.99, t =   5.92 s / 95.89 tokens per second
2.27.234.676 I slot print_timing: id  2 | task 532 | prompt eval time =    6924.36 ms /   572 tokens (   12.11 ms per token,    82.61 tokens per second)
2.27.234.685 I slot print_timing: id  2 | task 532 |        eval time =    8634.15 ms /   100 tokens (   86.34 ms per token,    11.58 tokens per second)
2.27.234.692 I slot print_timing: id  2 | task 532 |       total time =   15558.51 ms /   672 tokens
2.27.234.693 I slot print_timing: id  2 | task 532 |    graphs reused =        562
2.27.234.846 I slot      release: id  2 | task 532 | stop processing: n_tokens = 671, truncated = 0
2.27.273.741 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.929 (> 0.100 thold), f_keep = 0.797
2.27.274.491 I slot launch_slot_: id  2 | task 636 | processing task, is_child = 0
2.35.757.528 I slot print_timing: id  2 | task 636 | prompt eval time =    1243.09 ms /    46 tokens (   27.02 ms per token,    37.00 tokens per second)
2.35.757.536 I slot print_timing: id  2 | task 636 |        eval time =    7239.89 ms /    84 tokens (   86.19 ms per token,    11.60 tokens per second)
2.35.757.538 I slot print_timing: id  2 | task 636 |       total time =    8482.98 ms /   130 tokens
2.35.757.539 I slot print_timing: id  2 | task 636 |    graphs reused =        644
2.35.757.664 I slot      release: id  2 | task 636 | stop processing: n_tokens = 659, truncated = 0
2.35.796.476 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 177093002817
2.35.906.645 I slot launch_slot_: id  1 | task 722 | processing task, is_child = 0
2.44.511.410 I slot print_timing: id  1 | task 722 | prompt eval time =    1248.71 ms /    50 tokens (   24.97 ms per token,    40.04 tokens per second)
2.44.511.418 I slot print_timing: id  1 | task 722 |        eval time =    6559.32 ms /    76 tokens (   86.31 ms per token,    11.59 tokens per second)
2.44.511.420 I slot print_timing: id  1 | task 722 |       total time =    7808.03 ms /   126 tokens
2.44.511.424 I slot print_timing: id  1 | task 722 |    graphs reused =        718
2.44.511.552 I slot      release: id  1 | task 722 | stop processing: n_tokens = 628, truncated = 0
2.44.549.163 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 177109957691
2.44.645.865 I slot launch_slot_: id  0 | task 800 | processing task, is_child = 0
2.51.577.938 I slot print_timing: id  0 | task 800 | prompt eval time =    1097.57 ms /    25 tokens (   43.90 ms per token,    22.78 tokens per second)
2.51.577.946 I slot print_timing: id  0 | task 800 |        eval time =    4972.01 ms /    58 tokens (   85.72 ms per token,    11.67 tokens per second)
2.51.577.947 I slot print_timing: id  0 | task 800 |       total time =    6069.58 ms /    83 tokens
2.51.577.948 I slot print_timing: id  0 | task 800 |    graphs reused =        774
2.51.578.063 I slot      release: id  0 | task 800 | stop processing: n_tokens = 547, truncated = 0
2.51.616.776 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 177124751198
2.51.853.488 I slot launch_slot_: id  3 | task 860 | processing task, is_child = 0
2.59.253.477 I slot print_timing: id  3 | task 860 | prompt eval time =    1035.91 ms /    31 tokens (   33.42 ms per token,    29.93 tokens per second)
2.59.253.485 I slot print_timing: id  3 | task 860 |        eval time =    5680.75 ms /    64 tokens (   88.76 ms per token,    11.27 tokens per second)
2.59.253.487 I slot print_timing: id  3 | task 860 |       total time =    6716.66 ms /    95 tokens
2.59.253.488 I slot print_timing: id  3 | task 860 |    graphs reused =        836
2.59.253.609 I slot      release: id  3 | task 860 | stop processing: n_tokens = 624, truncated = 0
2.59.292.592 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.924 (> 0.100 thold), f_keep = 0.854
2.59.293.401 I slot launch_slot_: id  3 | task 926 | processing task, is_child = 0
3.09.237.498 I slot print_timing: id  3 | task 926 | n_decoded =    100, tg =  11.55 t/s, tg_3s =  11.55 t/s
3.10.286.082 I slot print_timing: id  3 | task 926 | prompt eval time =    1288.15 ms /    47 tokens (   27.41 ms per token,    36.49 tokens per second)
3.10.286.089 I slot print_timing: id  3 | task 926 |        eval time =    9704.47 ms /   112 tokens (   86.65 ms per token,    11.54 tokens per second)
3.10.286.090 I slot print_timing: id  3 | task 926 |       total time =   10992.63 ms /   159 tokens
3.10.286.091 I slot print_timing: id  3 | task 926 |    graphs reused =        946
3.10.286.209 I slot      release: id  3 | task 926 | stop processing: n_tokens = 688, truncated = 0
3.10.323.972 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 177149583737
3.10.599.891 I slot launch_slot_: id  2 | task 1040 | processing task, is_child = 0
3.17.450.722 I slot print_timing: id  2 | task 1040 | prompt eval time =    1095.41 ms /    23 tokens (   47.63 ms per token,    21.00 tokens per second)
3.17.450.731 I slot print_timing: id  2 | task 1040 |        eval time =    4723.04 ms /    55 tokens (   85.87 ms per token,    11.65 tokens per second)
3.17.450.732 I slot print_timing: id  2 | task 1040 |       total time =    5818.45 ms /    78 tokens
3.17.450.734 I slot print_timing: id  2 | task 1040 |    graphs reused =        999
3.17.450.868 I slot      release: id  2 | task 1040 | stop processing: n_tokens = 546, truncated = 0
3.17.487.122 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 177158337625
3.17.780.380 I slot launch_slot_: id  1 | task 1097 | processing task, is_child = 0
3.25.185.951 I slot print_timing: id  1 | task 1097 | prompt eval time =    1099.99 ms /    23 tokens (   47.83 ms per token,    20.91 tokens per second)
3.25.185.959 I slot print_timing: id  1 | task 1097 |        eval time =    4852.72 ms /    56 tokens (   86.66 ms per token,    11.54 tokens per second)
3.25.185.960 I slot print_timing: id  1 | task 1097 |       total time =    5952.71 ms /    79 tokens
3.25.185.961 I slot print_timing: id  1 | task 1097 |    graphs reused =       1053
3.25.186.089 I slot      release: id  1 | task 1097 | stop processing: n_tokens = 545, truncated = 0
3.25.222.268 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.955 (> 0.100 thold), f_keep = 0.862
3.25.222.762 I slot launch_slot_: id  1 | task 1155 | processing task, is_child = 0
3.32.137.247 I slot print_timing: id  1 | task 1155 | prompt eval time =    1051.28 ms /    25 tokens (   42.05 ms per token,    23.78 tokens per second)
3.32.137.255 I slot print_timing: id  1 | task 1155 |        eval time =    5863.15 ms /    68 tokens (   86.22 ms per token,    11.60 tokens per second)
3.32.137.256 I slot print_timing: id  1 | task 1155 |       total time =    6914.43 ms /    93 tokens
3.32.137.258 I slot print_timing: id  1 | task 1155 |    graphs reused =       1119
3.32.137.355 I slot      release: id  1 | task 1155 | stop processing: n_tokens = 559, truncated = 0
3.32.174.842 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 177165404135
3.32.377.021 I slot launch_slot_: id  0 | task 1225 | processing task, is_child = 0
3.39.815.291 I slot print_timing: id  0 | task 1225 | prompt eval time =    1015.47 ms /    24 tokens (   42.31 ms per token,    23.63 tokens per second)
3.39.815.299 I slot print_timing: id  0 | task 1225 |        eval time =    4811.69 ms /    56 tokens (   85.92 ms per token,    11.64 tokens per second)
3.39.815.300 I slot print_timing: id  0 | task 1225 |       total time =    5827.16 ms /    80 tokens
3.39.815.308 I slot print_timing: id  0 | task 1225 |    graphs reused =       1173
3.39.815.406 I slot      release: id  0 | task 1225 | stop processing: n_tokens = 548, truncated = 0
3.39.854.755 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 177184112282
3.40.086.657 I slot launch_slot_: id  3 | task 1283 | processing task, is_child = 0
3.51.521.677 I slot print_timing: id  3 | task 1283 | n_decoded =    100, tg =  11.24 t/s, tg_3s =  11.24 t/s
3.52.064.708 I slot print_timing: id  3 | task 1283 | prompt eval time =    1216.78 ms /    45 tokens (   27.04 ms per token,    36.98 tokens per second)
3.52.064.715 I slot print_timing: id  3 | task 1283 |        eval time =    9436.73 ms /   106 tokens (   89.03 ms per token,    11.23 tokens per second)
3.52.064.718 I slot print_timing: id  3 | task 1283 |       total time =   10653.51 ms /   151 tokens
3.52.064.719 I slot print_timing: id  3 | task 1283 |    graphs reused =       1277
3.52.065.060 I slot      release: id  3 | task 1283 | stop processing: n_tokens = 654, truncated = 0
3.52.301.922 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 177191276941
3.52.580.703 I slot launch_slot_: id  2 | task 1391 | processing task, is_child = 0
3.56.838.922 I slot print_timing: id  2 | task 1391 | prompt eval time =    1090.94 ms /    21 tokens (   51.95 ms per token,    19.25 tokens per second)
3.56.838.937 I slot print_timing: id  2 | task 1391 |        eval time =    2458.86 ms /    29 tokens (   84.79 ms per token,    11.79 tokens per second)
3.56.838.939 I slot print_timing: id  2 | task 1391 |       total time =    3549.81 ms /    50 tokens
3.56.838.940 I slot print_timing: id  2 | task 1391 |    graphs reused =       1304
3.56.839.873 I slot      release: id  2 | task 1391 | stop processing: n_tokens = 518, truncated = 0
3.56.881.407 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
3.56.882.038 I slot launch_slot_: id  2 | task 1422 | processing task, is_child = 0
4.00.370.440 I slot print_timing: id  2 | task 1422 | prompt eval time =    1036.59 ms /    21 tokens (   49.36 ms per token,    20.26 tokens per second)
4.00.370.449 I slot print_timing: id  2 | task 1422 |        eval time =    2451.73 ms /    29 tokens (   84.54 ms per token,    11.83 tokens per second)
4.00.370.450 I slot print_timing: id  2 | task 1422 |       total time =    3488.32 ms /    50 tokens
4.00.370.452 I slot print_timing: id  2 | task 1422 |    graphs reused =       1331
4.00.370.553 I slot      release: id  2 | task 1422 | stop processing: n_tokens = 518, truncated = 0
4.00.408.670 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
4.00.409.181 I slot launch_slot_: id  2 | task 1453 | processing task, is_child = 0
4.03.879.461 I slot print_timing: id  2 | task 1453 | prompt eval time =    1020.71 ms /    21 tokens (   48.61 ms per token,    20.57 tokens per second)
4.03.879.469 I slot print_timing: id  2 | task 1453 |        eval time =    2449.51 ms /    29 tokens (   84.47 ms per token,    11.84 tokens per second)
4.03.879.470 I slot print_timing: id  2 | task 1453 |       total time =    3470.22 ms /    50 tokens
4.03.879.472 I slot print_timing: id  2 | task 1453 |    graphs reused =       1358
4.03.879.563 I slot      release: id  2 | task 1453 | stop processing: n_tokens = 518, truncated = 0
4.03.917.547 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
4.03.918.024 I slot launch_slot_: id  2 | task 1484 | processing task, is_child = 0
4.07.397.088 I slot print_timing: id  2 | task 1484 | prompt eval time =    1028.58 ms /    21 tokens (   48.98 ms per token,    20.42 tokens per second)
4.07.397.097 I slot print_timing: id  2 | task 1484 |        eval time =    2450.43 ms /    29 tokens (   84.50 ms per token,    11.83 tokens per second)
4.07.397.098 I slot print_timing: id  2 | task 1484 |       total time =    3479.01 ms /    50 tokens
4.07.397.100 I slot print_timing: id  2 | task 1484 |    graphs reused =       1385
4.07.397.192 I slot      release: id  2 | task 1484 | stop processing: n_tokens = 518, truncated = 0
4.07.435.051 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
4.07.435.516 I slot launch_slot_: id  2 | task 1515 | processing task, is_child = 0
4.10.920.123 I slot print_timing: id  2 | task 1515 | prompt eval time =    1033.72 ms /    21 tokens (   49.22 ms per token,    20.31 tokens per second)
4.10.920.131 I slot print_timing: id  2 | task 1515 |        eval time =    2450.82 ms /    29 tokens (   84.51 ms per token,    11.83 tokens per second)
4.10.920.133 I slot print_timing: id  2 | task 1515 |       total time =    3484.54 ms /    50 tokens
4.10.920.134 I slot print_timing: id  2 | task 1515 |    graphs reused =       1412
4.10.920.227 I slot      release: id  2 | task 1515 | stop processing: n_tokens = 518, truncated = 0
4.10.957.347 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 177205963430
4.11.237.381 I slot launch_slot_: id  1 | task 1546 | processing task, is_child = 0
4.16.665.250 I slot print_timing: id  1 | task 1546 | prompt eval time =    1093.64 ms /    18 tokens (   60.76 ms per token,    16.46 tokens per second)
4.16.665.259 I slot print_timing: id  1 | task 1546 |        eval time =    2356.82 ms /    28 tokens (   84.17 ms per token,    11.88 tokens per second)
4.16.665.261 I slot print_timing: id  1 | task 1546 |       total time =    3450.46 ms /    46 tokens
4.16.665.262 I slot print_timing: id  1 | task 1546 |    graphs reused =       1438
4.16.665.390 I slot      release: id  1 | task 1546 | stop processing: n_tokens = 512, truncated = 0
4.16.702.211 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
4.16.702.581 I slot launch_slot_: id  1 | task 1576 | processing task, is_child = 0
4.20.103.519 I slot print_timing: id  1 | task 1576 | prompt eval time =    1042.46 ms /    18 tokens (   57.91 ms per token,    17.27 tokens per second)
4.20.103.534 I slot print_timing: id  1 | task 1576 |        eval time =    2358.42 ms /    28 tokens (   84.23 ms per token,    11.87 tokens per second)
4.20.103.536 I slot print_timing: id  1 | task 1576 |       total time =    3400.88 ms /    46 tokens
4.20.103.538 I slot print_timing: id  1 | task 1576 |    graphs reused =       1464
4.20.103.623 I slot      release: id  1 | task 1576 | stop processing: n_tokens = 512, truncated = 0
4.20.140.548 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
4.20.140.928 I slot launch_slot_: id  1 | task 1606 | processing task, is_child = 0
4.23.523.118 I slot print_timing: id  1 | task 1606 | prompt eval time =    1024.64 ms /    18 tokens (   56.92 ms per token,    17.57 tokens per second)
4.23.523.126 I slot print_timing: id  1 | task 1606 |        eval time =    2357.48 ms /    28 tokens (   84.20 ms per token,    11.88 tokens per second)
4.23.523.128 I slot print_timing: id  1 | task 1606 |       total time =    3382.12 ms /    46 tokens
4.23.523.130 I slot print_timing: id  1 | task 1606 |    graphs reused =       1490
4.23.523.218 I slot      release: id  1 | task 1606 | stop processing: n_tokens = 512, truncated = 0
4.23.559.572 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
4.23.560.005 I slot launch_slot_: id  1 | task 1636 | processing task, is_child = 0
4.26.931.609 I slot print_timing: id  1 | task 1636 | prompt eval time =    1014.78 ms /    18 tokens (   56.38 ms per token,    17.74 tokens per second)
