0.00.021.056 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.404 W srv  llama_server: -----------------
0.00.021.406 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.021.406 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.021.406 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.021.406 W srv  llama_server: -----------------
0.00.022.626 I srv    load_model: loading model '/home/mark/Downloads/Qwen3.8-27B-AD-IQ2_S.gguf'
VMEAN tap: no live V layers — add disabled
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.02.388.700 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.388.725 W no implementations specified for speculative decoding
0.02.388.729 W no implementations specified for speculative decoding
0.02.388.729 W no implementations specified for speculative decoding
0.02.388.729 W no implementations specified for speculative decoding
0.02.402.828 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.402.866 I srv  llama_server: model loaded
0.02.402.870 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.153.238 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.25.975.063 I slot print_timing: id  0 | task 0 | n_decoded =    614, tg =  28.50 t/s, tg_3s =  28.50 t/s
0.28.979.015 I slot print_timing: id  0 | task 0 | n_decoded =    699, tg =  28.48 t/s, tg_3s =  28.30 t/s
0.31.999.077 I slot print_timing: id  0 | task 0 | n_decoded =    785, tg =  28.48 t/s, tg_3s =  28.48 t/s
0.35.021.810 I slot print_timing: id  0 | task 0 | n_decoded =    871, tg =  28.47 t/s, tg_3s =  28.45 t/s
0.38.052.334 I slot print_timing: id  0 | task 0 | n_decoded =    953, tg =  28.35 t/s, tg_3s =  27.06 t/s
0.41.073.510 I slot print_timing: id  0 | task 0 | n_decoded =   1039, tg =  28.36 t/s, tg_3s =  28.47 t/s
0.44.095.601 I slot print_timing: id  0 | task 0 | n_decoded =   1125, tg =  28.36 t/s, tg_3s =  28.46 t/s
0.47.110.897 I slot print_timing: id  0 | task 0 | n_decoded =   1210, tg =  28.35 t/s, tg_3s =  28.19 t/s
0.50.140.582 I slot print_timing: id  0 | task 0 | n_decoded =   1296, tg =  28.35 t/s, tg_3s =  28.39 t/s
0.53.171.595 I slot print_timing: id  0 | task 0 | n_decoded =   1382, tg =  28.36 t/s, tg_3s =  28.37 t/s
0.56.195.303 I slot print_timing: id  0 | task 0 | n_decoded =   1467, tg =  28.34 t/s, tg_3s =  28.11 t/s
0.59.226.914 I slot print_timing: id  0 | task 0 | n_decoded =   1553, tg =  28.34 t/s, tg_3s =  28.37 t/s
1.02.259.950 I slot print_timing: id  0 | task 0 | n_decoded =   1639, tg =  28.34 t/s, tg_3s =  28.35 t/s
1.05.288.013 I slot print_timing: id  0 | task 0 | n_decoded =   1724, tg =  28.33 t/s, tg_3s =  28.07 t/s
1.08.318.759 I slot print_timing: id  0 | task 0 | n_decoded =   1810, tg =  28.33 t/s, tg_3s =  28.38 t/s
1.11.350.755 I slot print_timing: id  0 | task 0 | n_decoded =   1896, tg =  28.33 t/s, tg_3s =  28.36 t/s
1.14.357.585 I slot print_timing: id  0 | task 0 | n_decoded =   1972, tg =  28.20 t/s, tg_3s =  25.28 t/s
1.17.389.916 I slot print_timing: id  0 | task 0 | n_decoded =   2058, tg =  28.21 t/s, tg_3s =  28.36 t/s
1.20.391.902 I slot print_timing: id  0 | task 0 | n_decoded =   2143, tg =  28.21 t/s, tg_3s =  28.31 t/s
1.23.430.284 I slot print_timing: id  0 | task 0 | n_decoded =   2228, tg =  28.20 t/s, tg_3s =  27.98 t/s
1.26.430.472 I slot print_timing: id  0 | task 0 | n_decoded =   2313, tg =  28.21 t/s, tg_3s =  28.33 t/s
1.29.434.352 I slot print_timing: id  0 | task 0 | n_decoded =   2398, tg =  28.21 t/s, tg_3s =  28.30 t/s
1.32.474.045 I slot print_timing: id  0 | task 0 | n_decoded =   2483, tg =  28.20 t/s, tg_3s =  27.96 t/s
1.35.481.605 I slot print_timing: id  0 | task 0 | n_decoded =   2568, tg =  28.20 t/s, tg_3s =  28.26 t/s
1.36.011.568 I slot print_timing: id  0 | task 0 | prompt eval time =     279.09 ms /    79 tokens (    3.53 ms per token,   283.07 tokens per second)
1.36.011.571 I slot print_timing: id  0 | task 0 |        eval time =   91579.17 ms /  2583 tokens (   35.45 ms per token,    28.21 tokens per second)
1.36.011.572 I slot print_timing: id  0 | task 0 |       total time =   91858.25 ms /  2662 tokens
1.36.011.576 I slot print_timing: id  0 | task 0 |    graphs reused =       2572
1.36.011.615 I slot      release: id  0 | task 0 | stop processing: n_tokens = 2661, truncated = 0
1.36.044.259 I srv    operator(): operator(): cleaning up before exit...
